year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2006-02,2006,02,0.13027364015579224,0.003247917164117098,41184,132521,0.19419214129447937,0.1847771555185318,0.21273973086099435,0.5212742686271667,0.33840227127075195,0.25089840714840717,0.05101010147531293
2006-03,2006,03,0.20119164884090424,0.007240637205541134,67114,159392,0.21282562613487244,0.21835683286190033,0.2068767849226821,0.623404324054718,0.4041464924812317,0.25012665017731023,0.18209652011754449
2006-04,2006,04,0.15046752989292145,0.009714310057461262,77583,172940,0.23487038910388947,0.22665871679782867,0.18096868995328255,0.6573898792266846,0.41376274824142456,0.2503512367400075,0.26331055758736743
2006-05,2006,05,0.2735868990421295,0.015562512911856174,100577,178534,0.25036048889160156,0.24301205575466156,0.17016952587528597,0.6471355557441711,0.43666911125183105,0.25049464589319625,0.4553149955951182
2006-06,2006,06,0.17336894571781158,0.015624240040779114,119899,179079,0.2978844940662384,0.28246235847473145,0.13998179642098968,0.6618695855140686,0.545755922794342,0.25001876579454374,0.457341581025508
2006-07,2006,07,0.6277770400047302,0.029897334054112434,131657,175230,0.3606594204902649,0.35083532333374023,0.1356110895089567,0.6601047515869141,0.7997058033943176,0.25003607859817556,0.9259466316527065
2006-08,2006,08,0.34311723709106445,0.01929525099694729,112773,174366,0.3054742217063904,0.3204687237739563,0.14628922361082644,0.6997207403182983,0.5823401808738708,0.25037908009895987,0.5778658537137702
2006-09,2006,09,0.3240649700164795,0.012807095423340797,97874,180436,0.2151486575603485,0.22235313057899475,0.15281481955030746,0.643234372138977,0.41506725549697876,0.250464883421542,0.364850899268237
2006-10,2006,10,0.1995922476053238,0.0056527829729020596,74589,178613,0.17664265632629395,0.17504887282848358,0.18171930400180691,0.589538037776947,0.33476826548576355,0.25006368231240533,0.12996511032094676
2006-11,2006,11,0.1202545017004013,0.002582426182925701,61955,163489,0.15224626660346985,0.1373027116060257,0.19602561430616597,0.5616844892501831,0.29005783796310425,0.25002017593414577,0.029161129231325807
2006-12,2006,12,0.11575505882501602,0.0036491216160357,42881,131719,0.18170945346355438,0.14901351928710938,0.18684695410208244,0.5935726761817932,0.2898532450199127,0.2500174902637532,0.06418218822311592
2007-01,2007,01,0.16901011765003204,0.0024522009771317244,37822,132946,0.17675292491912842,0.15496881306171417,0.18289539645670028,0.5298098921775818,0.2904324233531952,0.2502511765639046,0.02488565895858623
